service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21065,1,1,1,1,1,1,0,20190901,20270831
21456,1,0,1,0,1,0,0,20190901,20270831
21459,0,1,0,1,0,1,0,20190901,20270831
21463,0,0,0,0,0,0,1,20190901,20270831
21464,1,1,1,1,1,1,1,20190901,20270831
21467,0,0,0,0,0,0,1,20190901,20270831
21477,0,0,0,0,0,1,1,20190901,20270831
22090,1,1,1,1,1,0,0,20190901,20270831
26348,1,1,1,1,1,1,0,20190901,20270831
48456,1,1,1,1,1,1,1,20210618,20251227
66834,1,1,1,1,1,1,1,20190901,20270831
67750,1,0,1,0,1,0,0,20190901,20270831
67751,0,1,0,1,0,1,0,20190901,20270831
72295,0,0,0,0,0,0,1,20160301,20240229
72477,0,0,0,0,0,1,0,20160301,20240229
72839,1,1,1,1,1,0,0,20160301,20240229
72910,0,0,1,0,0,0,0,20160301,20240229
82248,0,1,0,0,0,0,0,20160314,20240229
106943,1,1,1,1,1,0,0,20180101,20240229
106952,1,1,1,1,1,0,0,20180101,20240229
107011,1,1,1,1,1,0,0,20180101,20240229
108279,0,1,0,0,1,0,0,20180212,20240229
108281,0,1,0,0,1,0,0,20180212,20240229
109176,1,1,1,1,1,0,0,20180312,20240229
110808,0,0,0,0,0,0,1,20180701,20241212
111205,1,0,0,0,0,0,0,20180701,20241212
111206,1,0,0,0,0,0,0,20180701,20241212
111208,0,0,0,0,1,0,0,20180701,20241212
111209,0,0,0,0,1,0,0,20180701,20241212
111210,0,0,0,0,1,0,0,20180701,20241212
111222,0,1,0,0,1,0,0,20180701,20241212
111754,1,1,1,1,1,0,0,20180901,20241212
112216,0,0,0,0,0,1,0,20180701,20241212
112217,0,0,0,0,0,1,0,20180701,20241212
112988,1,1,1,1,1,0,0,20180613,20240229
115270,1,0,1,0,1,1,0,20180901,20240331
116525,1,1,1,1,1,0,0,20181001,20240331
116637,1,1,1,1,1,0,0,20181001,20240331
116648,0,0,0,0,0,1,0,20181001,20240331
116745,1,1,1,1,1,0,0,20180901,20240229
117420,1,1,1,1,1,0,0,20190901,20270831
117696,1,1,1,1,1,1,0,20180901,20240229
119494,1,1,1,1,1,0,0,20181008,20240229
119546,0,1,0,1,0,0,0,20181008,20240229
120851,0,0,0,0,0,0,1,20181028,20240229
123043,0,0,0,0,0,1,0,20181203,20240229
123416,0,0,0,0,0,0,1,20190101,20240331
123446,1,1,1,1,1,0,1,20190101,20240331
123519,0,0,0,0,0,0,1,20190102,20240331
124921,1,1,1,1,1,0,0,20230101,20280630
125414,1,1,1,1,1,1,1,20190121,20240120
125671,0,0,0,0,0,1,0,20210705,20241212
125672,0,0,0,0,0,1,0,20210705,20241212
125673,0,0,0,0,0,1,0,20210705,20241212
125674,0,0,0,0,0,1,0,20210705,20241212
125675,0,0,0,0,0,1,0,20210705,20241212
125676,0,0,0,0,0,0,1,20210705,20241212
125677,0,0,0,0,0,0,1,20210705,20241212
125678,0,0,0,0,0,0,1,20210705,20241212
125679,0,0,0,0,0,0,1,20210705,20241212
125680,0,0,0,0,0,0,1,20210705,20241212
126066,1,1,1,1,1,1,0,20190301,20240331
126179,1,1,1,1,1,0,0,20190301,20240331
126386,1,1,1,1,1,0,0,20190301,20241212
126546,1,1,1,1,1,0,0,20190218,20240229
126574,0,0,0,0,0,1,1,20190218,20240229
126575,1,1,1,1,1,1,1,20190218,20240229
126576,1,1,1,1,1,0,1,20190218,20240229
128288,1,1,1,1,1,0,0,20190325,20240229
128364,1,1,1,1,1,0,0,20190325,20240229
128573,1,1,1,1,1,0,1,20190501,20240331
128822,1,1,1,1,1,0,0,20180901,20261231
128829,1,1,1,1,1,0,0,20180901,20261231
129274,0,0,0,0,1,0,0,20190118,20240117
130156,1,1,1,1,1,1,1,20190506,20261231
130157,0,0,0,0,0,1,1,20190506,20261231
130175,1,1,1,1,1,0,0,20190506,20261231
130176,1,1,1,1,1,0,0,20190506,20261231
130314,1,1,1,1,1,0,0,20190501,20240229
130642,1,0,0,0,0,0,0,20190601,20241212
130643,0,1,1,1,1,0,0,20190601,20241212
130644,0,0,0,0,0,1,1,20190601,20241212
131377,0,1,0,0,0,0,0,20230915,20240514
131379,0,1,0,0,1,0,0,20230915,20240514
131380,0,0,0,0,1,0,0,20230915,20240514
131381,0,0,0,0,0,0,1,20230915,20240514
131382,0,1,0,0,1,0,0,20230915,20240514
131383,0,1,0,0,0,0,0,20230915,20240514
131385,0,0,0,0,1,0,0,20230915,20240514
131386,0,0,0,0,0,0,1,20230915,20240514
132291,0,0,0,0,1,0,0,20190610,20240229
132861,1,1,1,1,0,0,0,20220901,20270831
132870,0,0,0,0,1,0,0,20220901,20270831
132874,0,0,1,0,0,0,0,20190701,20240229
133024,0,1,0,0,0,0,0,20190701,20261231
133115,1,1,1,1,1,0,0,20190901,20270831
133239,0,0,1,0,0,0,0,20190801,20240331
133241,1,1,1,1,1,0,0,20211101,20270831
133348,1,1,1,1,1,0,0,20211004,20270831
133749,1,1,1,1,1,1,0,20190901,20270831
133784,1,0,1,0,1,0,0,20200901,20270831
133818,1,1,1,1,1,1,0,20190901,20270831
133827,1,1,1,1,1,1,0,20200901,20270831
133903,0,0,0,0,0,0,1,20190901,20270831
133926,1,1,1,1,1,0,0,20221104,20270831
133931,0,0,0,0,0,1,0,20190901,20270831
133933,0,0,0,0,0,0,1,20190901,20270831
133943,0,0,0,0,0,0,1,20190901,20270831
133953,1,1,1,1,1,0,0,20190901,20270831
133961,1,1,1,1,1,0,0,20190901,20270831
134052,1,0,1,0,1,0,0,20190901,20270831
134055,0,1,0,1,0,1,0,20190901,20270831
134057,1,1,1,1,1,1,0,20230116,20270831
134300,1,1,1,1,1,1,0,20190901,20270831
134321,1,1,1,1,1,1,0,20190901,20270831
134335,1,1,1,1,1,1,0,20190901,20270831
134423,0,0,0,0,0,0,1,20190901,20270831
134460,0,1,0,0,1,0,0,20190901,20270831
134489,0,0,0,0,0,0,1,20190901,20270831
134633,0,0,0,0,0,0,1,20190901,20270831
134634,1,1,1,1,1,1,0,20221114,20270831
134677,1,1,1,0,1,0,1,20190901,20270831
134691,0,0,0,0,0,1,0,20190901,20270831
134695,0,0,0,1,0,0,0,20190901,20270831
134706,1,1,1,1,1,1,0,20190901,20270831
134728,1,1,1,1,1,0,0,20190901,20270831
134760,1,1,1,1,1,1,0,20200901,20270831
134771,0,0,0,0,0,0,1,20190901,20270831
135189,1,1,1,1,1,1,0,20190901,20270831
135303,1,1,1,1,1,1,0,20200901,20270831
135333,0,0,0,0,0,0,1,20190901,20270831
135481,0,0,0,0,0,1,0,20230901,20241212
135482,0,0,0,0,0,1,0,20230901,20241212
135483,0,0,0,0,0,1,0,20230901,20241212
135484,0,0,0,0,0,1,0,20230901,20241212
135531,1,1,1,1,1,1,0,20190901,20270831
135547,1,1,1,1,1,1,0,20200901,20270831
